2026-03-13 18:41:53 EET LOG:  database system was interrupted; last known up at 2026-03-13 11:25:54 EET
2026-03-13 18:41:54 EET LOG:  database system was not properly shut down; automatic recovery in progress
2026-03-13 18:41:54 EET LOG:  redo starts at 0/180A058
2026-03-13 18:41:54 EET LOG:  invalid record length at 0/180A090: expected at least 24, got 0
2026-03-13 18:41:54 EET LOG:  redo done at 0/180A058 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-03-13 18:41:54 EET LOG:  checkpoint starting: end-of-recovery immediate wait
2026-03-13 18:41:54 EET LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.005 s, total=0.041 s; sync files=2, longest=0.005 s, average=0.003 s; distance=0 kB, estimate=0 kB; lsn=0/180A090, redo lsn=0/180A090
2026-03-13 18:43:12 EET LOG:  shutting down
2026-03-13 18:43:12 EET LOG:  checkpoint starting: shutdown immediate
2026-03-13 18:43:12 EET ERROR:  canceling statement due to user request
2026-03-13 18:43:12 EET ERROR:  canceling statement due to user request
2026-03-13 18:43:12 EET LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.052 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/180A140, redo lsn=0/180A140
